List Loss. Total Prompt Count=1664000000
Absolute Time Mark,Prompts per Deadtime sample,Prompts in ListFile,Difference,Missing Time Marks,Sorter Busy (%),CPM Busy
14123,0,7411201,0,0,0,0
15124,12799820,12800000,-180,0,-0.001406,2187280
16124,12800048,12800000,48,0,0.000375,2135151
17124,12799939,12800000,-61,0,-0.000477,2188530
18124,12799973,12800000,-27,0,-0.000211,2188680
19124,12800120,12800000,120,0,0.000937,2137854
20124,12799840,12800000,-160,0,-0.001250,2182815
21124,12800125,12800000,125,0,0.000977,2190305
22124,12800014,12800000,14,0,0.000109,2127140
23124,12800121,12800000,121,0,0.000945,2187731
24124,12799888,12800000,-112,0,-0.000875,2183066
25124,12800044,12800000,44,0,0.000344,2142159
26124,12799955,12800000,-45,0,-0.000352,2176468
27124,12800054,12800000,54,0,0.000422,2186914
28124,12800038,12800000,38,0,0.000297,2137396
29124,12799843,12800000,-157,0,-0.001227,2183829
30124,12799967,12800000,-33,0,-0.000258,2189707
31124,12800168,12800000,168,0,0.001312,2134318
32124,12800142,12800000,142,0,0.001109,2177984
33124,12799906,12800000,-94,0,-0.000734,2182405
34124,12799904,12800000,-96,0,-0.000750,2137643
35124,12800032,12800000,32,0,0.000250,2191939
36124,12799960,12800000,-40,0,-0.000313,2181254
37124,12800030,12800000,30,0,0.000234,2140205
38124,12799904,12800000,-96,0,-0.000750,2190422
39124,12800018,12800000,18,0,0.000141,2198899
40124,12800107,12800000,107,0,0.000836,2146578
41124,12799909,12800000,-91,0,-0.000711,2190788
42124,12799958,12800000,-42,0,-0.000328,2185153
43124,12799944,12800000,-56,0,-0.000438,2130290
44124,12800216,12800000,216,0,0.001687,2175342
45124,12799958,12800000,-42,0,-0.000328,2169096
46124,12799892,12800000,-108,0,-0.000844,2131837
47124,12800138,12800000,138,0,0.001078,2195337
48124,12799807,12800000,-193,0,-0.001508,2173539
49124,12800203,12800000,203,0,0.001586,2142211
50124,12799857,12800000,-143,0,-0.001117,2177016
51124,12800022,12800000,22,0,0.000172,2186071
52124,12800097,12800000,97,0,0.000758,2123800
53124,12800042,12800000,42,0,0.000328,2171910
